16081 | V: 100 | C: 98.32 = 99.16
26498 | V: 100 | C: 98.3 = 99.15
96104 | V: 100 | C: 98.29 = 99.15
67477 | V: 100 | C: 98.28 = 99.14
29723 | V: 100 | C: 98.26 = 99.13
12572 | V: 100 | C: 98.23 = 99.12
20585 | V: 100 | C: 98.25 = 99.12
40265 | V: 100 | C: 98.24 = 99.12
62858 | V: 100 | C: 98.23 = 99.12
90798 | V: 100 | C: 98.13 = 99.06
14021 | V: 100 | C: 98.03 = 99.02
11569 | V: 100 | C: 98.02 = 99.01
86087 | V: 100 | C: 98.01 = 99.00
27721 | V: 100 | C: 97.96 = 98.98
68319 | V: 100 | C: 97.97 = 98.98
510 | V: 100 | C: 97.94 = 98.97
5701 | V: 100 | C: 97.93 = 98.97
92890 | V: 100 | C: 97.94 = 98.97
75181 | V: 100 | C: 97.88 = 98.94
85536 | V: 100 | C: 97.87 = 98.94
83922 | V: 100 | C: 97.86 = 98.93
43412 | V: 100 | C: 97.85 = 98.92
92353 | V: 100 | C: 97.84 = 98.92
25861 | V: 100 | C: 97.83 = 98.91
68752 | V: 100 | C: 97.83 = 98.91
68857 | V: 100 | C: 97.82 = 98.91
69512 | V: 100 | C: 97.83 = 98.91
58843 | V: 100 | C: 97.8 = 98.90
70226 | V: 100 | C: 97.75 = 98.88
94762 | V: 100 | C: 97.75 = 98.88
9895 | V: 100 | C: 97.77 = 98.88
42189 | V: 100 | C: 97.74 = 98.87
55400 | V: 100 | C: 97.74 = 98.87
63932 | V: 100 | C: 97.73 = 98.87
671 | V: 100 | C: 97.74 = 98.87
22671 | V: 100 | C: 97.72 = 98.86
29856 | V: 100 | C: 97.7 = 98.85
86824 | V: 100 | C: 97.7 = 98.85
23637 | V: 100 | C: 97.69 = 98.84
29010 | V: 100 | C: 97.67 = 98.84
45570 | V: 100 | C: 97.67 = 98.84
74733 | V: 100 | C: 97.68 = 98.84
82563 | V: 100 | C: 97.67 = 98.84
91350 | V: 100 | C: 97.67 = 98.84
93196 | V: 100 | C: 97.69 = 98.84
25208 | V: 100 | C: 97.64 = 98.82
76494 | V: 100 | C: 97.64 = 98.82
22841 | V: 100 | C: 97.61 = 98.81
5489 | V: 100 | C: 97.63 = 98.81
57858 | V: 100 | C: 97.61 = 98.81
91548 | V: 100 | C: 97.62 = 98.81
93203 | V: 100 | C: 97.62 = 98.81
61259 | V: 100 | C: 97.6 = 98.80
86270 | V: 100 | C: 97.6 = 98.80
89334 | V: 100 | C: 97.58 = 98.79
4152 | V: 100 | C: 97.56 = 98.78
69758 | V: 100 | C: 97.56 = 98.78
84969 | V: 100 | C: 97.55 = 98.78
56032 | V: 100 | C: 97.53 = 98.77
81008 | V: 100 | C: 97.54 = 98.77
81692 | V: 100 | C: 97.53 = 98.77
94119 | V: 100 | C: 97.54 = 98.77
2691 | V: 100 | C: 97.5 = 98.75
31831 | V: 100 | C: 97.49 = 98.75
42232 | V: 100 | C: 97.49 = 98.75
49499 | V: 100 | C: 97.51 = 98.75
68007 | V: 100 | C: 97.51 = 98.75
30495 | V: 100 | C: 97.48 = 98.74
77034 | V: 100 | C: 97.48 = 98.74
15128 | V: 100 | C: 97.47 = 98.73
66736 | V: 100 | C: 97.47 = 98.73
83093 | V: 100 | C: 97.47 = 98.73
12365 | V: 100 | C: 97.43 = 98.72
12401 | V: 100 | C: 97.43 = 98.72
29927 | V: 100 | C: 97.43 = 98.72
56922 | V: 100 | C: 97.43 = 98.72
58055 | V: 100 | C: 97.43 = 98.72
60672 | V: 100 | C: 97.44 = 98.72
61462 | V: 100 | C: 97.43 = 98.72
72229 | V: 100 | C: 97.45 = 98.72
750 | V: 100 | C: 97.43 = 98.72
80833 | V: 100 | C: 97.44 = 98.72
41098 | V: 100 | C: 97.42 = 98.71
48253 | V: 100 | C: 97.42 = 98.71
29465 | V: 100 | C: 97.4 = 98.70
51545 | V: 100 | C: 97.41 = 98.70
53541 | V: 100 | C: 97.41 = 98.70
63509 | V: 100 | C: 97.4 = 98.70
99260 | V: 100 | C: 97.4 = 98.70
17400 | V: 100 | C: 97.38 = 98.69
48461 | V: 100 | C: 97.37 = 98.69
60025 | V: 100 | C: 97.37 = 98.69
91673 | V: 100 | C: 97.37 = 98.69
82279 | V: 100 | C: 97.36 = 98.68
20452 | V: 100 | C: 97.34 = 98.67
21163 | V: 100 | C: 97.35 = 98.67
30494 | V: 100 | C: 97.34 = 98.67
51728 | V: 100 | C: 97.35 = 98.67
55896 | V: 100 | C: 97.34 = 98.67
59420 | V: 100 | C: 97.34 = 98.67
1104 | V: 100 | C: 97.31 = 98.66
17150 | V: 100 | C: 97.33 = 98.66
28527 | V: 100 | C: 97.32 = 98.66
30674 | V: 100 | C: 97.31 = 98.66
53676 | V: 100 | C: 97.33 = 98.66
58668 | V: 100 | C: 97.32 = 98.66
59829 | V: 100 | C: 97.31 = 98.66
65577 | V: 100 | C: 97.32 = 98.66
92170 | V: 100 | C: 97.33 = 98.66
9226 | V: 100 | C: 97.31 = 98.66
40004 | V: 100 | C: 97.29 = 98.65
80518 | V: 100 | C: 97.3 = 98.65
89126 | V: 100 | C: 97.3 = 98.65
95390 | V: 100 | C: 97.3 = 98.65
99955 | V: 100 | C: 97.3 = 98.65
53722 | V: 100 | C: 97.28 = 98.64
20825 | V: 100 | C: 97.26 = 98.63
23329 | V: 100 | C: 97.26 = 98.63
4264 | V: 100 | C: 97.26 = 98.63
53939 | V: 100 | C: 97.26 = 98.63
59777 | V: 100 | C: 97.27 = 98.63
94982 | V: 100 | C: 97.27 = 98.63
13740 | V: 100 | C: 97.25 = 98.62
30301 | V: 100 | C: 97.24 = 98.62
30354 | V: 100 | C: 97.25 = 98.62
94319 | V: 100 | C: 97.25 = 98.62
5521 | V: 100 | C: 97.22 = 98.61
73831 | V: 100 | C: 97.22 = 98.61
7945 | V: 100 | C: 97.22 = 98.61
85212 | V: 100 | C: 97.22 = 98.61
51971 | V: 100 | C: 97.21 = 98.60
56769 | V: 100 | C: 97.2 = 98.60
63866 | V: 100 | C: 97.2 = 98.60
65636 | V: 100 | C: 97.21 = 98.60
25582 | V: 100 | C: 97.19 = 98.59
27069 | V: 100 | C: 97.19 = 98.59
30190 | V: 100 | C: 97.17 = 98.59
31434 | V: 100 | C: 97.18 = 98.59
47719 | V: 100 | C: 97.18 = 98.59
